ChainID,SubChainID,StoreID,BikoretNo,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
7.2907E+12,1,89,0,2020/03/22 11:51,501,0,ראש קוקוס,בכורי שדה דרום 2002 בעמ,,,יח`,1,,0,1,4.9,4.9,1,1,,
7.2907E+12,1,89,0,2020/02/26 15:51,600,0,סנדוויץ` עובד,קבוצת אסם סחר שות. מוגבלת,,,יח`,1,,0,1,3.5,3.5,1,1,,
7.2907E+12,1,89,0,2020/04/05 10:40,2001,0,אשכולית,מהדרין תנופורט יצוא ( ש.מ.),,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:43,2002,0,אשכולית אדומה,תעשיות תוצרת חקלאית אביטן בני,,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,89,0,2020/04/21 17:37,2003,0,אבוקדו,צמח שיווק תוצרת חקלאית אגשח בע,,,"ק""ג",1,,1,1,15.9,15.9,1,1,,
7.2907E+12,1,89,0,2020/02/23 09:27,2004,0,אבטיח,יבולי החמישה ו.ב,,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,89,0,2020/04/19 10:10,2006,0,ארטישוק,ג`אן ציון,,,"ק""ג",1,,1,1,6.9,6.9,1,1,,
7.2907E+12,1,89,0,2020/03/15 12:29,2007,0,בטטה,החקלאי תלמי אל-בועז חדד,,,"ק""ג",1,,1,1,8.9,8.9,1,1,,
7.2907E+12,1,89,0,2020/05/03 14:16,2009,0,בננות,גליל שוק מקומי אגשח בעמ,,,"ק""ג",1,,1,1,6.9,6.9,1,1,,
7.2907E+12,1,89,0,2020/04/30 16:02,2010,0,בצל יבש,אום אל נור לגידולים חקלאיים בע,,,"ק""ג",1,,1,1,3.9,3.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:44,7.29001E+12,1,בצל ירוק,א.אדמה (2007) בעמ,,,יח`,1,,0,1,6,6,1,1,,
7.2907E+12,1,89,0,2020/04/05 10:40,2012,0,אננס,ח.ע בסד שיווק פירות בעמ,,,יח`,1,,0,1,39.9,39.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:46,2013,0,גויאבה,אלדד קליימן שיווק בעמ,,,"ק""ג",1,,1,1,14.9,14.9,1,1,,
7.2907E+12,1,89,0,2020/04/19 10:10,2014,0,גזר ארוז,גזר שליט (חוות מיכאל)בעמ,,,"ק""ג",1,,1,1,4.9,4.9,1,1,,
7.2907E+12,1,89,0,2020/04/05 10:39,2015,0,דלעת,שוסטר תעשיות מזון בעמ,,,"ק""ג",1,,1,1,12.9,12.9,1,1,,
7.2907E+12,1,89,0,2020/04/19 10:11,2016,0,דלורית,שוסטר תעשיות מזון בעמ,,,"ק""ג",1,,1,1,9.9,9.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:43,2017,0,תפוח זהוב,בראשית - אגודה שיתופית חקלאית,,,"ק""ג",1,,1,1,9.9,9.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:47,2019,0,חסה עגולה,הירוקים של רצון בעמ,,,יח`,1,,0,1,5.9,5.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:47,2020,0,חסה רגילה,הירוקים של רצון בעמ,,,יח`,1,,0,1,4.9,4.9,1,1,,
7.2907E+12,1,89,0,2020/03/29 12:09,2021,0,חצילים,שיווק רפול אוליאל,,,"ק""ג",1,,1,1,6.9,6.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:44,7.29001E+12,1,ירק,א.אדמה (2007) בעמ,,,יח`,1,,0,1,3.9,3.9,1,1,,
7.2907E+12,1,89,0,2020/05/03 14:14,2023,0,תפוח יונתן,בראשית - אגודה שיתופית חקלאית,,,"ק""ג",1,,1,1,9.9,9.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:42,2024,0,כרוב לבן,תעשיות תוצרת חקלאית אביטן בני,,,"ק""ג",1,,1,1,3.9,3.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:47,2025,0,כרובית,ד.ע. ימין גידול ושיווק ירקות ב,,,יח`,1,,0,1,9.9,9.9,1,1,,
7.2907E+12,1,89,0,2020/02/20 18:40,2026,0,כרוב סיני,בכורי שדה דרום 2002 בעמ,,,יח`,1,,0,1,5,5,1,1,,
7.2907E+12,1,89,0,2020/03/29 12:10,2027,0,לימון,יהודה כרמלה,,,"ק""ג",1,,1,1,9.9,9.9,1,1,,
7.2907E+12,1,89,0,2020/03/15 12:30,2028,0,מלפפון,ד. חי שווק תוצרת חקלאית בעמ,,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,89,0,2020/05/03 14:14,2029,0,מלון,יבולי תנובת הדרום בעמ,,,"ק""ג",1,,1,1,8.9,8.9,1,1,,
